"GTIN";"TPGTIN";"MARCA";"DESCRICAO";"IMGURL";"ORIGEM";"NCM";"CEST";"PESOB";"UNIDPESOB"
"7898738300263";"13";"DuSolo";"DuSolo Alho Frito 500g";"https://cnp30blob.blob.core.windows.net/cnp3files/1c3dfeb71988c61f2a803a1aefedc609ae31763063b8a6d4d0bf24f6667751bd.jpeg";"Brasil";"07032090";"{}";"500.000";"GRM"
"7898738300294";"13";"DuSolo";"DuSolo Bicarbonato de Sódio 500g";"https://cnp30blob.blob.core.windows.net/cnp3files/b959e65990d8c5e44041bb7d588f1bdea849880b0e50524e9e419a94ec5ee41c.jpeg";"Brasil";"28363000";"{2806300}";"500.000";"GRM"
"7898738300324";"13";"DuSolo";"DuSolo Cravo da ndia 500g";"https://cnp30blob.blob.core.windows.net/cnp3files/8943a74bc83ed6113ffcb63d040c47d673d87c44e8e5e2bffa07e38399e02ebf.jpeg";"Brasil";"09071000";"{}";"500.000";"GRM"
"7898738300379";"13";"DuSolo";"DuSolo Curry 500g";"https://cnp30blob.blob.core.windows.net/cnp3files/6c48258468f923e0120ea53471af6f8bf1665afd2f4d9faffdfd71c32ddb05b8.jpeg";"Brasil";"09109900";"{}";"500.000";"GRM"
"7898738300409";"13";"DuSolo";"DuSolo Louro em Pó 500g";"https://cnp30blob.blob.core.windows.net/cnp3files/7fbd7bafea3040e8a9b69d338bf6301f3265dcf94662dcf839d7db1bc1a8ec84.jpeg";"Brasil";"09109900";"{}";"500.000";"GRM"
"7899902960979";"13";"HIMAFLEX";"MANGUEIRA JARDIM SUPER FLEXIVEL LARANJA 1 2 quot X 3 00 X 300 M";"https://cnp30blob.blob.core.windows.net/cnp3files/3ebd6a9ad8f9fa89e6307b19e467a373d0e510b2695fe14a109221572bb9865d.jpeg";"Brasil";"39173900";"{}";"0.097";"KGM"
"7899902960986";"13";"HIMAFLEX";"MANGUEIRA JARDIM SUPER FLEXIVEL LARANJA 1 2 quot X 3 00 X 300 M";"https://cnp30blob.blob.core.windows.net/cnp3files/e0d5fb184095fd8b29ddea36025079705dee1b074e978866faaae98bf583f969.jpeg";"Brasil";"39173900";"{}";"0.475";"KGM"
"7899902960993";"13";"HIMAFLEX";"MANGUEIRA JARDIM SUPER FLEXIVEL LARANJA 1 2 quot X 3 00 X 300 M";"https://cnp30blob.blob.core.windows.net/cnp3files/376d1efd1b0a92e251e0fdd46614af3fcfe4707b5ec5082cdaac39e27a68a576.jpeg";"Brasil";"39173900";"{}";"0.475";"KGM"
"7899902961006";"13";"HIMAFLEX";"MANGUEIRA JARDIM SUPER FLEXIVEL LARANJA 1 2 quot X 3 00 X 300 M";"https://cnp30blob.blob.core.windows.net/cnp3files/9765613ff2af840077f550be065d69c7f1daf45fbe5b0d01cffbb5c7cf012627.jpeg";"Brasil";"39173900";"{}";"0.635";"KGM"
"7899902961013";"13";"HIMAFLEX";"MANGUEIRA JARDIM SUPER FLEXIVEL LARANJA 1 2 quot X 3 00 X 300 M";"https://cnp30blob.blob.core.windows.net/cnp3files/5dfca52ba33def2a377fbcdf6e00443ef88cbc0094df3cb0e49b008dd51287d1.jpeg";"Brasil";"39173900";"{}";"0.635";"KGM"
"7899902961020";"13";"HIMAFLEX";"MANGUEIRA JARDIM SUPER FLEXIVEL LARANJA 1 2 quot X 3 00 X 300 M";"https://cnp30blob.blob.core.windows.net/cnp3files/62f28fba8e0a35721eb5c858c5b6ea5fb1c254b2965dffd387a1a4e9d20be667.jpeg";"Brasil";"39173900";"{}";"0.850";"KGM"
"7899902961037";"13";"HIMAFLEX";"MANGUEIRA JARDIM SUPER FLEXIVEL LARANJA 1 2 quot X 3 00 X 300 M";"https://cnp30blob.blob.core.windows.net/cnp3files/e502e68c667f5f7d5419ad3351e22594488dfa96978c5e4083185116436f7d86.jpeg";"Brasil";"39173900";"{}";"0.850";"KGM"
"7899902961044";"13";"HIMAFLEX";"MANGUEIRA JARDIM SUPER FLEXIVEL LARANJA 1 2 quot X 3 00 X 300 M";"https://cnp30blob.blob.core.windows.net/cnp3files/7c8d757ad3adc3da08d7cd88d9fc770336ed109e35b4d8d9034fbef95b128c8f.jpeg";"Brasil";"39173900";"{}";"0.475";"KGM"
"7908053640651";"13";"Allmini";"Caneca Cerâmica 400ml";"https://cnpprod.blob.core.windows.net/imagesazurecontainer/8fcce61a-bc60-4ef9-931e-2e0270f56106.png";"República Popular da China";"69120000";"{1400900}";"10.100";"GRM"
"7898954476315";"13";"Casa das Amêndoas";"Castanha de Caju com Chocolate";"https://cnpprod.blob.core.windows.net/imagesazurecontainer/1d83c3d9-d4e2-48f8-a076-a5def1c24bdd.png";"Brasil";"08013200";"{}";"80.000";"GRM"
"7898954476322";"13";"Casa das Amêndoas";"Avelã com Chocolate";"https://cnpprod.blob.core.windows.net/imagesazurecontainer/3ad19702-3161-4186-9987-0c63927544f5.png";"Brasil";"08013200";"{}";"80.000";"GRM"
"7898954476346";"13";"Casa das Amêndoas";"Amêndoas com Chocolate";"https://cnpprod.blob.core.windows.net/imagesazurecontainer/9b59dad0-2272-4fb1-a27c-2a0c949c62f7.png";"Brasil";"08012200";"{}";"80.000";"GRM"
"7898954476360";"13";"Casa das amêndoas";"Castanha do Pará Granulado kg";"https://cnpprod.blob.core.windows.net/imagesazurecontainer/3b4ebe42-6a61-4247-8165-c104d1381a80.png";"Brasil";"08012200";"{}";"1.000";"KGM"
"7898954476377";"13";"Casa das amêndoas";"Castanha de Caju Granulado 1 kg";"https://cnpprod.blob.core.windows.net/imagesazurecontainer/d7b7599d-3cb0-454e-bc05-c8107becc32c.png";"Brasil";"08013200";"{}";"1.000";"KGM"
"7898954476384";"13";"casa das amêndoas";"GERGELIM BRANCO 1KG";"https://cnpprod.blob.core.windows.net/imagesazurecontainer/22aec4fc-6d3f-411a-afcf-44483e54dd00.png";"Brasil";"12074090";"{}";"1.000";"KGM"
"7898603962107";"13";"Mundial LUX";"LAMPADA LED MR11 GU10 3W 4.000K BIVOLT";"";"Brazil";"85395000";"{}";"35.000";"GRM"
"7899918600937";"13";"BLUMEN";"TOALHA BANHO ATHENAS VERMELHA- 75CMX1,50M 100% ALGODÃO - BLUMEN";"";"Brazil";"63022100";"{}";"0";""
"7898946275582";"13";"Inovatto";"PH281 - 40*10 60X40 POL OPALA";"";"China, People's Republic of";"83024100";"{}";"1.200";"KGM"
"7898946275599";"13";"Inovatto";"PH281 - 40*10 45X30 POL OPALA";"";"China, People's Republic of";"83024100";"{}";"0.970";"KGM"
"7898946275575";"13";"Inovatto";"PH281 - 40*10 80X60 POL OPALA";"";"China, People's Republic of";"83024100";"{}";"1.900";"KGM"
"7898718821665";"13";"integral agroindustrial";"BOVIMIX LEITE 16 P 40 KG";"https://cnp30blob.blob.core.windows.net/cnp3files/27f873392516c1f0209ae9f97ee1ef76a846769397a1079bc5a95205ba0e5450.png";"Brasil";"23099010";"{2200100}";"40.000";"KGM"
"7898973466342";"13";"Moselle Chocolatier";"BARRA 80G CHOCOLATE 45 CACAU AO LEITE SEM ACUCAR SEM LACTOSE";"https://cnp30blob.blob.core.windows.net/cnp3files/e4876f4f733fcbe4194513f24aff3cb9334bff79603c4da941dc79cd57baf855.jpeg";"Brasil";"18063210";"{1700300}";"80.000";"GRM"
"7898718822112";"13";"integral agroindustrial";"BOVIMIX LEITE 22 TAMPONADA 40 KG P";"https://cnp30blob.blob.core.windows.net/cnp3files/c69c3fa353ab25521002709090884b4a63b7ddabbe34bbae41fca8128ea15834.png";"Brasil";"23099010";"{2200100}";"40.000";"KGM"
"7898718822129";"13";"integral agroindustrial";"BOVIMIX LEITE 24 40 KG P";"https://cnp30blob.blob.core.windows.net/cnp3files/8f06a8c3bf92ca3b963d7b3634c6b9704233255cb287392bbc8695d91131125a.png";"Brasil";"23099010";"{2200100}";"40.000";"KGM"
"7898973466465";"13";"Moselle Chocolatier";"EMB CAIXA 80G LASCAS 55 CACAU AO LEITE DE COCO COM AVELA CARAMELIZADA";"https://cnp30blob.blob.core.windows.net/cnp3files/08699adf65bb43cf30da4901d68ec2d827d24bc5ce7c1ef7107b7cc86b6791f8.jpeg";"Brasil";"18063120";"{1700202}";"94.000";"GRM"
"7896513080300";"13";"SCHUCK ÁGUA TÔNICA E LIMÃO";"REFRIGERANTE MISTO SCHUCK ÁGUA TÔNICA E LIMÃO";"https://cnp30blob.blob.core.windows.net/cnp3files/07cfe85853a9e035bfd7e674a6f0da87ce158cfe0b7f8d746d36c35da8ce36d0.jpeg";"Brasil";"22021000";"{0301001}";"0.533";"KGM"
"7896513080317";"13";"SCHUCK LIMÃO";"REFRIGERANTE DE FRUTA SCHUCK LIMÃO";"https://cnp30blob.blob.core.windows.net/cnp3files/91bd907f126aa039a6c6a4e681cbb0add449c716fddfa268ad0e3fa3ca266e39.jpeg";"Brasil";"22021000";"{0301001}";"2.153";"KGM"
"7897395002190";"13";"Tik Tok";"REFRIGERANTE TIK TOK COLA ZERO AÇUCAR LATA 269 MILILITROS PACOTE COM 12 UNIDADES";"https://cnp30blob.blob.core.windows.net/cnp3files/9de4c041c8b2cab7b6276dc859685cba3e949b8b54ed153038f5515f9d01bb40.png";"Brasil";"22021000";"{0301002}";"3.450";"KGM"
"7896445491250";"13";"Indaiá";"REFRIGERANTE GUARANA ZERO GRF 1L INDAIA REFRI";"https://cnp30blob.blob.core.windows.net/cnp3files/463ea49665028c8a778db3b1ab9d910a5280ee928f8f8fb480c8e1aee7d41d4e.jpeg";"Brasil";"22021000";"{0301001}";"1.080";"KGM"
"17896445491257";"14";"Indaiá";"REFRIGERANTE GUARANA ZERO GRF 6X1L INDAIA REFRI";"https://cnp30blob.blob.core.windows.net/cnp3files/733dc8d57d0195a50b5fa7c03e51981b20ecfe469964b66cc17195fe4453fe76.jpeg";"Brasil";"22021000";"{0301001}";"6.500";"KGM"
"7898639940858";"13";"";"Jogos de lençois enxovais para cama";"https://cnp30blob.blob.core.windows.net/cnp3files/bac7545e32fc953c4fa1c24fe08118d9bf4fc85d5c7512506e97d81846e0bef1.jpeg";"Brasil";"63021000";"{2806100}";"1.000";"GRM"
"7898639940841";"13";"";"Jogos de lençois enxovais para cama";"https://cnp30blob.blob.core.windows.net/cnp3files/bac7545e32fc953c4fa1c24fe08118d9bf4fc85d5c7512506e97d81846e0bef1.jpeg";"Brasil";"63021000";"{2806100}";"1.000";"GRM"
